symbol,r2,sum,sq_sum,res,cnt
300239.SZ,0.106022,-158.078,6438.69,5753.21,7868
002614.SZ,0.181946,-510.021,50668.6,41439,19902
002858.SZ,0.102582,36.8572,1565.05,1404.12,3180
002412.SZ,-0.0466047,-172.459,2349.8,2455.21,7573
002054.SZ,0.142738,-229.746,5656.1,4844,9498
002491.SZ,0.137201,107.035,2609.68,2250.19,6898
000622.SZ,0.19626,274.12,4351.02,3487.36,6210
300711.SZ,0.146934,199.122,4025.63,3427.25,4920
002654.SZ,0.162933,-304.842,6889.97,5755.82,6738
002490.SZ,0.197521,-455.845,9241.3,7384.85,5363
300599.SZ,0.138553,-211.809,12679.3,10919,10744
002811.SZ,0.0856034,174.14,3623.24,3305.95,3892
002746.SZ,0.10517,-392.984,3668.03,3270.11,11369
300066.SZ,0.0329204,410.682,5162.69,4974.66,9025
300248.SZ,0.241564,-92.046,16081.8,12196.6,15386
002095.SZ,0.121005,-117.084,3654.82,3210.85,7008
002662.SZ,0.13143,1337.22,22593.4,19505.2,13079
300780.SZ,-0.0100422,-38.7027,1370.13,1383.55,4437
002144.SZ,0.135457,521.993,17469.7,15066.4,6372
002576.SZ,0.192396,-214.62,3676.72,2963.84,6772
000045.SZ,0.0591404,771.749,31798.4,29864.5,10520
000065.SZ,0.132708,664.922,8454.53,7283.37,7797
300826.SZ,-0.0665698,-29.4572,941.254,1003.66,3636
300260.SZ,0.0643645,-94.2057,6274.94,5870.18,9434
300440.SZ,0.203315,-226.654,4053.01,3223.55,7555
002141.SZ,0.132831,75.9068,3836.76,3326.45,7404
000553.SZ,0.104532,-326.054,3751.82,3346.65,7329
300534.SZ,0.278931,-149.148,6173.86,4449.08,5937
000999.SZ,0.1879,-172.311,4509.69,3660.41,12622
000584.SZ,0.0919494,-119.131,6189.44,5618.48,6994
002722.SZ,0.0288734,-82.7984,1565.39,1518.41,3734
300209.SZ,0.135847,185.545,8431.7,7283.09,9348
300453.SZ,0.135537,419.51,14950.5,12915.5,17550
300585.SZ,0.266456,873.183,10040.6,7306.81,9581
300141.SZ,0.0543238,-201.891,4076.25,3849.12,6771
300589.SZ,0.0992721,-1184.38,25769,23091,10542
002721.SZ,0.0529532,203.005,5672.34,5365.77,6298
002573.SZ,0.181287,-116.45,3338.04,2730.79,5272
300408.SZ,0.175387,1036.5,31854.9,26221.8,19211
002455.SZ,0.076311,8.88997,3626.26,3349.52,5185
300644.SZ,0.166671,-52.7804,2356.8,1963.59,5699
300212.SZ,0.207883,1115.1,12563.5,9888.66,15618
300523.SZ,0.294733,768.795,9091.71,6365.1,8872
300735.SZ,0.0978004,-130.287,3423.85,3087.31,9106
300173.SZ,0.103345,385.839,9279.24,8303.94,8168
002828.SZ,0.053843,107.638,4477.42,4234.48,5889
002871.SZ,0.0323263,-102.451,2512.46,2428.33,3486
002884.SZ,0.0134823,-9.87047,3646.45,3597.28,9843
300631.SZ,0.214265,-30.5051,8617.97,6771.32,5784
300147.SZ,0.25968,-893.4,8472.05,6224.26,12371
300604.SZ,0.17593,-115.448,7111.38,5859.2,10221
300626.SZ,0.0329382,-279.741,7715.26,7449.49,6498
000055.SZ,0.183511,-518.453,5564.06,4515.56,7999
000932.SZ,0.204654,-160.251,10072.6,8009.86,15195
002893.SZ,0.109844,-98.5055,2526.54,2247.37,5240
300607.SZ,0.247534,143.312,12305.2,9258.31,16572
300176.SZ,0.219871,-320.605,4274.72,3322.84,6685
002593.SZ,0.188283,188.12,7968.1,6463.77,7061
000812.SZ,0.393515,-1994.63,12939,7583.88,9160
000156.SZ,0.142041,219.51,4597.99,3940.66,9774
300389.SZ,0.246658,372.483,8681.72,6526.87,7780
300606.SZ,0.1512,-97.77,3137.6,2661.69,5414
002986.SZ,-0.144491,-147.344,2127.76,2431.55,6796
002360.SZ,0.0174337,1049.12,32508.5,31834.4,10078
002551.SZ,0.118825,6.5679,4929.73,4343.95,12774
002559.SZ,0.0730188,49.1298,5430.76,5033.82,5718
300653.SZ,0.266831,343.546,10290.1,7536.65,11195
300462.SZ,0.290681,-113.611,4383.32,3107.94,7430
002563.SZ,0.152283,-361.434,23431.6,19856.5,16333
300820.SZ,0.0818458,-215.6,3327.28,3049.06,7239
000028.SZ,0.232731,283.659,15415.1,11823.2,14012
300219.SZ,0.323804,-819.978,17680.1,11906.8,9389
300229.SZ,0.21017,-969.524,9157.68,7184.69,15365
300116.SZ,0.153983,-100.501,6197.94,5242.68,9617
000514.SZ,-0.0112937,-36.4996,3045.95,3080.09,5159
002276.SZ,0.098027,-452.949,3053.69,2735.16,9649
002921.SZ,0.231588,309.708,4653.1,3562.72,5767
000671.SZ,0.157366,-39.8309,8225.81,6931.25,13206
002802.SZ,0.240638,47.1321,6443.57,4892.67,5029
300125.SZ,0.12522,-80.3449,4010.93,3507.86,6873
000880.SZ,-0.0291719,-505.713,4452.86,4535.44,5563
300339.SZ,0.170366,125.218,7049.84,5848.03,17134
300736.SZ,0.14886,-116.413,4058.36,3451.17,3766
300560.SZ,0.219683,-61.5664,2587.09,2018.29,6538
002616.SZ,0.227369,-896.652,10233.1,7834.39,8622
300083.SZ,0.0824251,999.658,65066.7,59672.7,29696
002456.SZ,0.142331,707.627,18082.3,15501.6,60874
002221.SZ,0.202841,677.108,8348.01,6624.39,12059
002349.SZ,0.0653277,-585.776,4205.49,3890.46,7959
300443.SZ,0.140031,911.593,17415.2,14932.6,16253
300473.SZ,0.0732118,312.357,9853.9,9125.35,12688
